symbol,last_bar_date,report_start_date,primary_fill_mode,stance,position,last_signal_action,last_signal_date,current_price,entry_date,entry_price,days_in_trade,unrealized_pct,unrealized_pnl,realized_pnl,current_equity_live,cash_live,shares_live,total_return_pct_live,annualized_return_pct_live,alpha_over_buy_hold_pct_live,max_drawdown_pct_live,time_in_market_pct_live,total_closed_trades_live,win_pct_long_live,total_return_pct_backtest_style,annualized_return_pct_backtest_style,alpha_over_buy_hold_pct_backtest_style,max_drawdown_pct_backtest_style,time_in_market_pct_backtest_style,total_closed_trades_backtest_style,win_pct_long_backtest_style,last_q_hold,last_q_long,last_q_close,last_q_hold_masked,last_q_long_masked,last_q_close_masked,overwatch_enabled,overwatch_override_count,overwatch_override_pct,overwatch_review_count,saved_model_last_trained_date,saved_model_timestamp_utc
ABBV,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,212.3000030517578,2026-05-13,206.86000061035156,5,2.6297991034299546,2708162.2484467616,2979814.880710393,105687977.12915716,0.0,497823.7193119158,5.687977129157155,42.96912039770848,5.1290495231218785,4.623321944841346,41.02564102564102,1.0,100.0,5.687977129157155,42.96912039770848,5.1290495231218785,4.623321944841346,38.46153846153847,2.0,100.0,0.38818359375,0.396484375,0.4072265625,0.38818359375,-inf,-inf,False,0,0.0,0,2025-08-21,2026-05-13 17:03:00
ADM,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,77.55000305175781,2026-05-07,78.4000015258789,9,-1.084181706094111,-1084181.7060941246,0.0,98915818.29390587,0.0,1275510.1792567081,-1.084181706094131,-6.801386971120859,-8.301105649903477,6.442268521186044,25.64102564102564,0.0,0.0,-1.084181706094131,-6.801386971120859,-8.301105649903477,6.442268521186044,23.076923076923077,1.0,0.0,0.2723384499549866,0.2545470893383026,0.23388761281967163,0.2723384499549866,-1000000000.0,0.23388761281967163,False,0,0.0,0,2025-08-21,2026-05-13 17:50:27
AEM,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,178.14999389648438,2026-04-28,193.5,16,-7.9328196917393,-9258167.239911914,16707143.231210634,107448975.99129872,0.0,603137.6911173676,7.44897599129872,59.07969087210727,12.466039216184765,12.00203440192865,69.23076923076923,1.0,100.0,7.44897599129872,59.07969087210727,12.466039216184765,12.00203440192865,66.66666666666666,2.0,50.0,0.1842588186264038,0.18383491039276123,0.18398097157478333,0.1842588186264038,-1000000000.0,0.18398097157478333,False,0,0.0,0,2025-08-21,2026-05-13 18:38:02
AMAT,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,CLOSE,2026-05-20,426.32000732421875,2026-05-07,426.3550109863281,9,-0.008209980229480022,-10229.76949628857,24601633.74761799,124591403.97812171,0.0,292248.550003822,24.59140397812171,313.99957956607346,-1.3338722575765682,8.615485914342237,82.05128205128204,2.0,100.0,24.59140397812171,313.99957956607346,-1.3338722575765682,8.615485914342237,79.48717948717949,3.0,66.66666666666666,2.9226577281951904,3.6698455810546875,3.891796112060547,2.9226577281951904,-1000000000.0,3.891796112060547,False,0,0.0,0,2014-04-23,2026-05-13 18:41:37
AMD,2026-05-20,2026-03-26,open_t_plus_1,FLAT,0,HOLD,2026-05-20,447.5799865722656,,,0,0.0,0.0,52491797.58240073,152491797.58240074,152491797.58240074,0.0,52.491797582400736,1427.756724380043,-67.15779616929115,1.2356773807963095,41.02564102564102,1.0,100.0,52.491797582400736,1427.756724380043,-67.15779616929115,1.2356773807963095,41.02564102564102,1.0,100.0,0.2992616891860962,0.2983911633491516,0.286457896232605,0.2992616891860962,0.2983911633491516,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-13 19:22:34
AMGN,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,331.57000732421875,2026-03-27,355.6600036621094,37,-6.773321737008409,-6773321.737008428,0.0,93226678.26299158,0.0,281167.4041790874,-6.773321737008422,-36.44014510775927,-0.6599464640408905,8.943934440492914,97.43589743589743,0.0,0.0,-6.773321737008422,-36.44014510775927,-0.6599464640408905,8.943934440492914,94.87179487179486,1.0,0.0,0.1876702904701233,0.1884521096944809,0.1458161622285843,0.1876702904701233,-1000000000.0,0.1458161622285843,False,0,0.0,0,2025-08-21,2026-05-13 20:10:21
AMZN,2026-05-20,2026-03-26,open_t_plus_1,FLAT,0,HOLD,2026-05-20,265.010009765625,,,0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,-27.691056345105974,0.0,0.0,0.0,0.0,0.0,0.0,-27.691056345105974,0.0,0.0,0.0,0.0,0.07027941942214966,0.06438278406858444,0.07298335433006287,0.07027941942214966,0.06438278406858444,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-13 20:58:11
AVGO,2026-05-20,2026-03-26,open_t_plus_1,FLAT,0,HOLD,2026-05-20,417.760009765625,,,0,0.0,0.0,20863610.369472265,120863610.36947228,120863610.36947228,0.0,20.86361036947228,240.2169494939832,-14.152467787244932,10.63552433853516,76.92307692307693,3.0,66.66666666666666,20.86361036947228,240.2169494939832,-14.152467787244932,10.63552433853516,76.92307692307693,3.0,66.66666666666666,0.056821875274181366,0.04838231950998306,0.1230122521519661,0.056821875274181366,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-13 21:39:27
AXP,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,309.82000732421875,2026-03-27,296.3531188964844,37,4.544203373961551,4544203.373961566,0.0,104544203.37396157,0.0,337435.2879172155,4.544203373961568,33.262335001534815,0.7333010727691353,7.086211105556804,97.43589743589743,0.0,0.0,4.544203373961568,33.262335001534815,0.7333010727691353,7.086211105556804,94.87179487179486,1.0,100.0,0.21855045855045319,0.21794436872005463,0.19940368831157684,0.21855045855045319,-1000000000.0,0.19940368831157684,False,0,0.0,0,2025-08-21,2026-05-13 22:27:21
CAT,2026-05-20,2026-03-26,open_t_plus_1,LONG,1,HOLD,2026-05-20,872.5599975585938,2026-03-27,694.469970703125,37,25.644021249062643,25644021.249062683,0.0,125644021.24906269,0.0,143994.70706955655,25.64402124906269,337.1281069049191,1.5580708616635963,7.204424151703639,97.43589743589743,0.0,0.0,25.64402124906269,337.1281069049191,1.5580708616635963,7.204424151703639,94.87179487179486,1.0,100.0,0.1860198974609375,0.1925296187400818,0.1617940068244934,0.1860198974609375,-1000000000.0,0.1617940068244934,False,0,0.0,0,2025-08-21,2026-05-13 23:15:19
